step 0: train loss 10.9886, val loss 10.9897
iter 0: loss 10.9933, time 23038.91ms, mfu -100.00%
iter 10: loss 10.3076, time 149.58ms, mfu 112.53%
iter 20: loss 9.7335, time 150.04ms, mfu 112.49%
iter 30: loss 9.4674, time 150.63ms, mfu 112.42%
iter 40: loss 9.1561, time 149.79ms, mfu 112.41%
iter 50: loss 8.9412, time 149.69ms, mfu 112.42%
iter 60: loss 8.8005, time 149.51ms, mfu 112.43%
iter 70: loss 8.5040, time 150.38ms, mfu 112.38%
iter 80: loss 8.3597, time 151.16ms, mfu 112.28%
iter 90: loss 8.1184, time 149.86ms, mfu 112.29%
iter 100: loss 7.9691, time 150.43ms, mfu 112.25%
iter 110: loss 7.9509, time 151.20ms, mfu 112.15%
iter 120: loss 7.5521, time 149.90ms, mfu 112.17%
iter 130: loss 7.3085, time 151.84ms, mfu 112.04%
iter 140: loss 7.3348, time 150.78ms, mfu 112.00%
iter 150: loss 6.9703, time 150.18ms, mfu 112.01%
iter 160: loss 6.8285, time 152.17ms, mfu 111.87%
iter 170: loss 6.8908, time 150.57ms, mfu 111.86%
iter 180: loss 6.8573, time 150.63ms, mfu 111.85%
iter 190: loss 6.7529, time 152.14ms, mfu 111.73%
iter 200: loss 6.5658, time 151.68ms, mfu 111.65%
iter 210: loss 6.6594, time 151.96ms, mfu 111.56%
iter 220: loss 6.2867, time 151.71ms, mfu 111.50%
iter 230: loss 6.3726, time 150.91ms, mfu 111.51%
iter 240: loss 6.1408, time 151.84ms, mfu 111.44%
iter 250: loss 6.3909, time 151.75ms, mfu 111.39%
iter 260: loss 6.4270, time 151.09ms, mfu 111.39%
iter 270: loss 6.3261, time 152.61ms, mfu 111.28%
iter 280: loss 6.1771, time 151.73ms, mfu 111.25%
iter 290: loss 6.1384, time 151.95ms, mfu 111.20%
iter 300: loss 6.1429, time 151.97ms, mfu 111.16%
iter 310: loss 6.2499, time 153.17ms, mfu 111.03%
iter 320: loss 6.2791, time 152.90ms, mfu 110.93%
iter 330: loss 6.2318, time 153.43ms, mfu 110.81%
iter 340: loss 6.0510, time 151.36ms, mfu 110.85%
iter 350: loss 6.1913, time 153.61ms, mfu 110.72%
iter 360: loss 6.1082, time 151.40ms, mfu 110.77%
iter 370: loss 5.9944, time 152.40ms, mfu 110.74%
iter 380: loss 5.9758, time 153.79ms, mfu 110.61%
iter 390: loss 5.7250, time 153.75ms, mfu 110.50%
iter 400: loss 5.8813, time 151.82ms, mfu 110.53%
iter 410: loss 5.9135, time 152.17ms, mfu 110.54%
iter 420: loss 5.6805, time 152.84ms, mfu 110.50%
iter 430: loss 6.0499, time 152.39ms, mfu 110.50%
iter 440: loss 5.6943, time 152.92ms, mfu 110.45%
iter 450: loss 5.5967, time 153.11ms, mfu 110.40%
iter 460: loss 5.8902, time 152.83ms, mfu 110.38%
iter 470: loss 5.5370, time 153.20ms, mfu 110.33%
iter 480: loss 5.6413, time 151.92ms, mfu 110.37%
iter 490: loss 5.6006, time 151.97ms, mfu 110.41%
iter 500: loss 5.4579, time 152.63ms, mfu 110.40%
iter 510: loss 5.6498, time 152.47ms, mfu 110.40%
iter 520: loss 5.2336, time 152.83ms, mfu 110.37%
iter 530: loss 5.5638, time 151.87ms, mfu 110.42%
iter 540: loss 5.3888, time 151.28ms, mfu 110.50%
iter 550: loss 5.4740, time 151.03ms, mfu 110.60%
iter 560: loss 5.3150, time 152.06ms, mfu 110.61%
iter 570: loss 5.2701, time 152.41ms, mfu 110.59%
iter 580: loss 5.3436, time 152.69ms, mfu 110.56%
iter 590: loss 5.3302, time 151.82ms, mfu 110.59%
iter 600: loss 5.3942, time 151.64ms, mfu 110.63%
iter 610: loss 5.5628, time 151.83ms, mfu 110.65%
iter 620: loss 5.5551, time 151.49ms, mfu 110.70%
iter 630: loss 5.2644, time 151.21ms, mfu 110.76%
iter 640: loss 5.0294, time 150.96ms, mfu 110.83%
iter 650: loss 5.3406, time 152.59ms, mfu 110.78%
iter 660: loss 5.2369, time 152.81ms, mfu 110.72%
iter 670: loss 5.4466, time 152.48ms, mfu 110.69%
iter 680: loss 5.2404, time 150.91ms, mfu 110.77%
iter 690: loss 5.2118, time 151.93ms, mfu 110.77%
iter 700: loss 5.2420, time 151.07ms, mfu 110.84%
iter 710: loss 5.2057, time 151.65ms, mfu 110.85%
iter 720: loss 5.0261, time 151.66ms, mfu 110.87%
iter 730: loss 5.0382, time 151.72ms, mfu 110.87%
iter 740: loss 4.9336, time 151.92ms, mfu 110.87%
iter 750: loss 5.1049, time 151.98ms, mfu 110.86%
iter 760: loss 5.0452, time 152.62ms, mfu 110.80%
iter 770: loss 5.1073, time 151.67ms, mfu 110.82%
iter 780: loss 4.7950, time 153.46ms, mfu 110.70%
iter 790: loss 4.8581, time 152.39ms, mfu 110.68%
iter 800: loss 5.0149, time 151.98ms, mfu 110.69%
iter 810: loss 4.8215, time 152.78ms, mfu 110.64%
iter 820: loss 4.8555, time 152.98ms, mfu 110.58%
iter 830: loss 4.8777, time 151.47ms, mfu 110.63%
iter 840: loss 4.9109, time 150.49ms, mfu 110.75%
iter 850: loss 4.7727, time 153.01ms, mfu 110.68%
iter 860: loss 4.8600, time 153.22ms, mfu 110.60%
iter 870: loss 4.9143, time 152.71ms, mfu 110.56%
iter 880: loss 4.7270, time 153.57ms, mfu 110.46%
iter 890: loss 4.9195, time 152.28ms, mfu 110.47%
iter 900: loss 4.6781, time 151.32ms, mfu 110.55%
iter 910: loss 4.6240, time 154.60ms, mfu 110.38%
iter 920: loss 4.6691, time 152.88ms, mfu 110.35%
iter 930: loss 4.7507, time 152.09ms, mfu 110.38%
iter 940: loss 4.5740, time 153.06ms, mfu 110.34%
iter 950: loss 4.3636, time 153.10ms, mfu 110.30%
iter 960: loss 4.6506, time 151.92ms, mfu 110.35%
iter 970: loss 4.5385, time 152.28ms, mfu 110.37%
iter 980: loss 4.2857, time 152.77ms, mfu 110.35%
iter 990: loss 4.4079, time 152.19ms, mfu 110.38%
step 1000: train loss 4.5061, val loss 4.5134
saving checkpoint to out
iter 1000: loss 4.5194, time 5182.59ms, mfu 99.66%
iter 1010: loss 4.4822, time 151.41ms, mfu 100.82%
iter 1020: loss 4.5686, time 151.32ms, mfu 101.86%
iter 1030: loss 4.6276, time 152.16ms, mfu 102.73%
iter 1040: loss 4.4646, time 151.85ms, mfu 103.55%
iter 1050: loss 4.3370, time 152.30ms, mfu 104.24%
iter 1060: loss 4.3590, time 152.09ms, mfu 104.89%
iter 1070: loss 4.2109, time 151.49ms, mfu 105.51%
iter 1080: loss 4.4190, time 151.22ms, mfu 106.09%
iter 1090: loss 4.4296, time 152.16ms, mfu 106.54%
iter 1100: loss 4.3103, time 153.84ms, mfu 106.83%
iter 1110: loss 4.3759, time 152.92ms, mfu 107.15%
iter 1120: loss 4.4976, time 153.07ms, mfu 107.44%
iter 1130: loss 4.3729, time 152.62ms, mfu 107.72%
iter 1140: loss 4.3646, time 152.70ms, mfu 107.97%
iter 1150: loss 4.2564, time 153.05ms, mfu 108.17%
iter 1160: loss 4.1840, time 153.49ms, mfu 108.32%
iter 1170: loss 4.2456, time 153.99ms, mfu 108.42%
iter 1180: loss 4.4084, time 153.26ms, mfu 108.56%
iter 1190: loss 4.2597, time 153.07ms, mfu 108.70%
iter 1200: loss 4.3532, time 153.10ms, mfu 108.83%
iter 1210: loss 4.2239, time 152.49ms, mfu 108.98%
iter 1220: loss 4.3063, time 152.42ms, mfu 109.13%
iter 1230: loss 4.0383, time 153.79ms, mfu 109.16%
iter 1240: loss 4.1547, time 152.86ms, mfu 109.25%
iter 1250: loss 4.1776, time 153.40ms, mfu 109.30%
iter 1260: loss 4.1165, time 151.84ms, mfu 109.46%
iter 1270: loss 4.2123, time 151.28ms, mfu 109.64%
